id,RAM_Capacity,PowerSupply_Wattage,CoolingEfficiency,Storage_HDD,Total_Storage,Activation_Date,System Information,System_Performance
5173,8.0,439.4568690095847,77.32919254658385,2.0,514.0,2024-07-08,"
        CPU_corecount - 4.0
        GPU_ProcessingUnits - 512.0
        CPU_Foundry - AMD
        CPU_Foundry - AMD
        ",90.25663386072007
3288,4.0,406.3897763578275,81.5527950310559,2.0,1026.0,2024-08-17,"
        CPU_corecount of the computer or machine is 12.0
        GPU processing count of the computer or machine is 1024.0
        Cpu comapnay name - ARM
        gput company name - AMD
        ",9.991030272829201
1010,4.0,454.9121405750799,77.20496894409938,1.0,1025.0,2024-03-08,"
        CPU_corecount of the computer or machine is 8.0
        GPU processing count of the computer or machine is 2048.0
        Cpu comapnay name - AMD
        gput company name - Intel
        ",56.130185623520624
1029,4.0,552.3162939297124,70.0,2.0,130.0,2024-08-17,"
        CPU_corecount - 4.0
        GPU_ProcessingUnits - 512.0
        CPU_Foundry - AMD
        CPU_Foundry - AMD
        ",7.154354055064159
4665,4.0,570.2875399361022,70.0,2.0,514.0,2024-07-08,"
        CPU_corecount of the computer or machine is 4.0
        GPU processing count of the computer or machine is 512.0
        Cpu comapnay name - AMD
        gput company name - AMD
        ",57.09218886258877
828,16.0,563.8178913738018,73.7888198757764,1.0,257.0,2024-07-08,"
        CPU_corecount of the computer or machine is 4.0
        GPU processing count of the computer or machine is 512.0
        Cpu comapnay name - AMD
        gput company name - AMD
        ",44.882147751339225
3525,4.0,530.7507987220447,70.0,2.0,130.0,2024-07-08,"
        CPU_corecount of the computer or machine is 8.0
        GPU processing count of the computer or machine is 512.0
        Cpu comapnay name - AMD
        gput company name - AMD
        ",38.530459698517504
96,4.0,552.3162939297124,70.0,2.0,130.0,2022-10-08,"
        CPU_corecount of the computer or machine is 4.0
        GPU processing count of the computer or machine is 512.0
        Cpu comapnay name - AMD
        gput company name - AMD
        ",45.017814874797565
1669,4.0,552.3162939297124,70.0,4.0,1028.0,cffJg,"
        CPU_corecount is - 2.0
        gPu units are - 1024.0
        cpu made by - AMD
        gpu made by - AMD
        ",16.120717578173664
4154,32.0,545.1277955271565,70.0,1.0,129.0,2024-08-17,"
        CPU_corecount is - 2.0
        gPu units are - 512.0
        cpu made by - AMD
        gpu made by - AMD
        ",15.565715709480505
2818,bEX5r,527.1565495207667,70.0,2.0,130.0,2024-07-08,"
        CPU_corecount is - 4.0
        gPu units are - 512.0
        cpu made by - AMD
        gpu made by - AMD
        ",44.25314563348698
621,4.0,493.0111821086262,75.34161490683229,0.5,128.5,2024-05-15,"
        CPU_corecount is - 4.0
        gPu units are - 2048.0
        cpu made by - AMD
        gpu made by - Intel
        ",78.53992774386447
566,4.0,454.9121405750799,77.20496894409938,1.0,1025.0,2024-03-08,"
        CPU_corecount of the computer or machine is 8.0
        GPU processing count of the computer or machine is 2048.0
        Cpu comapnay name - AMD
        gput company name - Intel
        ",43.5624766413355
2680,4.0,516.373801916933,70.0,1.0,129.0,2024-07-08,"
        CPU_corecount of the computer or machine is 4.0
        GPU processing count of the computer or machine is 512.0
        Cpu comapnay name - AMD
        gput company name - AMD
        ",46.41148623396038
1400,16.0,478.6341853035144,76.45962732919254,1.0,1025.0,2024-07-08,"
        CPU_corecount of the computer or machine is 4.0
        GPU processing count of the computer or machine is 512.0
        Cpu comapnay name - AMD
        gput company name - AMD
        ",42.834807524604464
51,4.0,581.0702875399361,70.0,0.5,128.5,2024-08-25,"
        CPU_corecount is - 16.0
        gPu units are - 512.0
        cpu made by - ARM
        gpu made by - AMD
        ",17.07038744238196
1831,16.0,556.9888178913739,74.40993788819875,2.0,514.0,2024-07-08,"
        CPU_corecount of the computer or machine is 2.0
        GPU processing count of the computer or machine is 512.0
        Cpu comapnay name - AMD
        gput company name - AMD
        ",17.69938956023421
